История перемещений робота
Формат: {A, V, U}
A - угол балки (градусы), V - скорость (бин), U - действие
============================================================

[0] {A=286.48, V=5, U=2}
[1] {A=286.48, V=5, U=1}
[2] {A=286.48, V=5, U=2}
[3] {A=286.48, V=5, U=2}
[4] {A=286.48, V=5, U=2}
[5] {A=286.48, V=5, U=0}
[6] {A=286.48, V=5, U=0}
[7] {A=286.48, V=5, U=2}
[8] {A=286.48, V=5, U=2}
[9] {A=286.48, V=5, U=2}
[10] {A=286.48, V=5, U=2}
[11] {A=286.48, V=6, U=2}
[12] {A=286.48, V=6, U=1}
[13] {A=286.48, V=6, U=1}
[14] {A=229.18, V=6, U=0}
[15] {A=229.18, V=6, U=0}
[16] {A=229.18, V=5, U=0}
[17] {A=229.18, V=5, U=2}
[18] {A=229.18, V=5, U=1}
[19] {A=229.18, V=5, U=1}
[20] {A=229.18, V=5, U=0}
[21] {A=229.18, V=5, U=0}
[22] {A=229.18, V=5, U=2}
[23] {A=229.18, V=5, U=0}
[24] {A=229.18, V=5, U=0}
[25] {A=229.18, V=5, U=0}
[26] {A=229.18, V=5, U=0}
[27] {A=229.18, V=4, U=2}
[28] {A=229.18, V=5, U=0}
[29] {A=229.18, V=4, U=0}
[30] {A=229.18, V=4, U=2}
[31] {A=229.18, V=5, U=0}
[32] {A=229.18, V=4, U=2}
[33] {A=229.18, V=5, U=0}
[34] {A=229.18, V=4, U=2}
[35] {A=229.18, V=5, U=0}
[36] {A=229.18, V=4, U=1}
[37] {A=229.18, V=4, U=2}
[38] {A=229.18, V=5, U=0}
[39] {A=229.18, V=4, U=2}
[40] {A=229.18, V=5, U=0}
[41] {A=229.18, V=4, U=2}
[42] {A=229.18, V=5, U=1}
[43] {A=229.18, V=5, U=0}
[44] {A=229.18, V=4, U=2}
[45] {A=229.18, V=5, U=0}
[46] {A=229.18, V=4, U=2}
[47] {A=229.18, V=5, U=0}
[48] {A=229.18, V=4, U=2}
[49] {A=229.18, V=5, U=0}
[50] {A=229.18, V=4, U=2}
[51] {A=229.18, V=5, U=0}
[52] {A=229.18, V=4, U=2}
[53] {A=229.18, V=5, U=0}
[54] {A=229.18, V=4, U=2}
[55] {A=229.18, V=5, U=0}
[56] {A=229.18, V=4, U=2}
[57] {A=229.18, V=5, U=0}
[58] {A=229.18, V=4, U=2}
[59] {A=229.18, V=5, U=0}
[60] {A=229.18, V=4, U=2}
[61] {A=229.18, V=5, U=0}
[62] {A=229.18, V=4, U=2}
[63] {A=229.18, V=5, U=0}
[64] {A=171.89, V=4, U=1}
[65] {A=171.89, V=4, U=2}
[66] {A=171.89, V=5, U=1}
[67] {A=171.89, V=5, U=0}
[68] {A=171.89, V=4, U=1}
[69] {A=171.89, V=4, U=1}
[70] {A=171.89, V=4, U=1}
[71] {A=171.89, V=4, U=1}
[72] {A=171.89, V=4, U=0}
[73] {A=171.89, V=4, U=1}
[74] {A=171.89, V=4, U=1}
[75] {A=171.89, V=4, U=1}
[76] {A=171.89, V=4, U=1}
[77] {A=171.89, V=4, U=1}
[78] {A=171.89, V=4, U=1}
[79] {A=171.89, V=4, U=0}
[80] {A=171.89, V=4, U=1}
[81] {A=171.89, V=4, U=1}
[82] {A=171.89, V=4, U=1}
[83] {A=114.59, V=4, U=1}
[84] {A=114.59, V=4, U=1}
[85] {A=114.59, V=4, U=1}
[86] {A=114.59, V=4, U=1}
[87] {A=114.59, V=4, U=1}
[88] {A=114.59, V=4, U=1}
[89] {A=114.59, V=4, U=1}
[90] {A=114.59, V=4, U=1}
[91] {A=114.59, V=4, U=1}
[92] {A=114.59, V=4, U=1}
[93] {A=114.59, V=4, U=1}
[94] {A=57.30, V=4, U=0}
[95] {A=57.30, V=4, U=0}
[96] {A=57.30, V=4, U=0}
[97] {A=57.30, V=4, U=0}
[98] {A=57.30, V=3, U=1}
[99] {A=57.30, V=3, U=1}
[100] {A=57.30, V=3, U=1}
[101] {A=57.30, V=3, U=1}
[102] {A=0.00, V=3, U=1}
[103] {A=0.00, V=3, U=1}
[104] {A=0.00, V=3, U=1}
[105] {A=0.00, V=3, U=1}
[106] {A=0.00, V=3, U=1}
[107] {A=0.00, V=3, U=1}
[108] {A=0.00, V=3, U=1}
[109] {A=229.18, V=4, U=2}
[110] {A=229.18, V=5, U=0}
[111] {A=229.18, V=4, U=2}
[112] {A=229.18, V=5, U=0}
[113] {A=229.18, V=4, U=2}
[114] {A=229.18, V=5, U=0}
[115] {A=229.18, V=4, U=2}
[116] {A=229.18, V=5, U=0}
[117] {A=229.18, V=4, U=2}
[118] {A=286.48, V=5, U=1}
[119] {A=286.48, V=5, U=2}
[120] {A=286.48, V=5, U=2}
[121] {A=286.48, V=5, U=2}
[122] {A=286.48, V=5, U=2}
[123] {A=286.48, V=5, U=2}
[124] {A=229.18, V=6, U=0}
[125] {A=229.18, V=5, U=0}
[126] {A=229.18, V=5, U=0}
[127] {A=229.18, V=5, U=0}
[128] {A=229.18, V=5, U=0}
[129] {A=229.18, V=5, U=0}
[130] {A=286.48, V=4, U=2}
[131] {A=286.48, V=5, U=2}
[132] {A=286.48, V=5, U=0}
[133] {A=286.48, V=5, U=2}
[134] {A=286.48, V=5, U=1}
[135] {A=286.48, V=5, U=2}
[136] {A=286.48, V=5, U=2}
[137] {A=286.48, V=5, U=2}
[138] {A=286.48, V=5, U=2}
[139] {A=286.48, V=6, U=1}
[140] {A=229.18, V=6, U=0}
[141] {A=229.18, V=5, U=0}
[142] {A=229.18, V=5, U=0}
[143] {A=229.18, V=5, U=0}
[144] {A=229.18, V=5, U=0}
[145] {A=286.48, V=5, U=0}
[146] {A=286.48, V=4, U=2}
[147] {A=286.48, V=5, U=2}
[148] {A=286.48, V=5, U=2}
[149] {A=286.48, V=5, U=2}
[150] {A=286.48, V=5, U=2}
[151] {A=286.48, V=5, U=2}
[152] {A=286.48, V=6, U=1}
[153] {A=229.18, V=6, U=0}
[154] {A=229.18, V=5, U=0}
[155] {A=229.18, V=5, U=0}
[156] {A=229.18, V=5, U=1}
[157] {A=229.18, V=5, U=0}
[158] {A=229.18, V=5, U=0}
[159] {A=286.48, V=5, U=2}
[160] {A=286.48, V=5, U=2}
[161] {A=286.48, V=5, U=1}
[162] {A=286.48, V=5, U=2}
[163] {A=286.48, V=5, U=0}
[164] {A=286.48, V=5, U=2}
[165] {A=286.48, V=5, U=0}
[166] {A=286.48, V=5, U=2}
[167] {A=286.48, V=5, U=2}
[168] {A=229.18, V=5, U=0}
[169] {A=229.18, V=5, U=0}
[170] {A=229.18, V=5, U=0}
[171] {A=229.18, V=5, U=0}
[172] {A=286.48, V=5, U=2}
[173] {A=286.48, V=5, U=2}
[174] {A=286.48, V=5, U=2}
[175] {A=286.48, V=5, U=2}
[176] {A=229.18, V=5, U=0}
[177] {A=229.18, V=5, U=0}
[178] {A=229.18, V=5, U=0}
[179] {A=286.48, V=5, U=0}
[180] {A=286.48, V=5, U=2}
[181] {A=286.48, V=5, U=2}
[182] {A=286.48, V=5, U=2}
[183] {A=286.48, V=5, U=2}
[184] {A=286.48, V=5, U=2}
[185] {A=229.18, V=6, U=0}
[186] {A=229.18, V=5, U=0}
[187] {A=229.18, V=5, U=0}
[188] {A=229.18, V=5, U=0}
[189] {A=229.18, V=5, U=0}
[190] {A=229.18, V=5, U=0}
[191] {A=286.48, V=4, U=0}
[192] {A=286.48, V=4, U=2}
[193] {A=286.48, V=4, U=2}
[194] {A=286.48, V=5, U=2}
[195] {A=286.48, V=5, U=2}
